deal_id,org_id,loan_amount,ltv,dscr,borrower_credit_score,occupancy_rate,property_age,default_outcome,created_at
6b14169d-11d8-42e0-8c76-9a6017dbb946,86695a03-1cbd-4c98-bc40-7932e7ae305d,3258294.0,0.517,1.0629,641,0.8778,12,0,2025-03-31 12:39:59.587380
f8bc2902-0fed-4682-b4b9-d9ebd7c61266,58bae27f-4733-4944-b3aa-bd4bb85505cc,1726723.0,0.4918,0.8441,720,1.0,7,0,2024-11-27 12:39:59.587380
ef1194eb-0a76-4cd6-8491-4f8750dbb042,f4f3387e-6387-47ba-b921-fc0599b6fb1d,3789287.0,0.7046,0.9296,693,0.9337,29,1,2025-05-11 12:39:59.587380
2b5d348d-43b8-4f77-83b1-40c11ee1c6de,10b10d5d-01e2-4061-99c9-72361c7a5382,9093131.0,0.7326,1.2066,670,1.0,9,0,2025-01-23 12:39:59.587380
635677f3-2c26-4e02-b247-7f4d60125bb4,65cb9d33-b593-4f41-bbf9-c023ee7cb4f4,1568839.0,0.4626,1.7631,647,0.8827,44,0,2025-10-03 12:39:59.587380
5486ca36-6873-4da6-9fa2-11d939e081a2,ae7e44c2-0448-423c-9ee7-6c12520aaf31,1568865.0,0.8245,1.4865,651,0.975,23,1,2025-05-06 12:39:59.587380
29575cd9-7234-40ea-97f5-303cf2b9f29c,1c28153b-1116-4f8f-991c-9467c8e63e43,9618634.0,0.4708,1.4152,761,1.0,22,0,2025-08-26 12:39:59.587380
ffcc12df-946b-4df6-8aeb-b6aa8d391c0a,721d69bf-7351-45b2-9a02-f74982074c68,4271325.0,0.6665,1.1522,680,1.0,35,0,2025-04-22 12:39:59.587380
32014d29-45e3-4648-8027-461fd867092c,29974164-54fb-4d34-93ce-959691f626df,1239881.0,0.7336,1.9181,711,0.8126,37,0,2025-02-08 12:39:59.587380
26885622-0df9-46e9-8f9a-d01df3b2fc79,5c7817de-470a-435d-a8b9-ce090180e577,3411150.0,0.7984,1.2764,648,0.8797,22,0,2025-02-14 12:39:59.587380
e246b602-cb44-452e-869b-47cb829570c2,ba8bcf73-bfcd-4e94-87bb-765bbad3d024,1247413.0,0.7356,0.9045,648,0.8724,43,0,2025-10-12 12:39:59.587380
9e43f4fd-066b-4569-b745-c2c7e040249a,63742c13-9b10-4d97-9374-da470fbe34f2,1244532.0,0.7707,1.5405,723,0.9391,20,1,2025-06-24 12:39:59.587380
29137eec-8cc5-4e1c-9254-946463e82532,4b1fbac6-fceb-488e-bf2b-e63df8062349,2525532.0,0.5858,0.9366,626,0.9549,20,1,2025-03-07 12:39:59.587380
0a633779-4553-4ee6-adfd-02152fedf728,88ea79a5-d24e-414a-9aa5-929bf1de89de,292646.0,0.7759,1.2143,663,0.8329,42,0,2025-01-23 12:39:59.587380
25c0469c-4d4b-4b9c-bf16-5c83af0bafc6,99c87ccd-2598-4e62-9cda-abf3d1b5e3b7,353303.0,0.482,1.4089,681,0.9054,45,0,2025-08-07 12:39:59.587380
e1bad36a-59d1-408e-856d-f148299e9a8c,a9f8d764-073f-4327-966a-39d4b2829107,1129982.0,0.8079,1.8491,684,0.7384,11,0,2025-06-30 12:39:59.587380
a830e4e6-ade2-41d7-928d-e7870a09bafe,d73a8328-8aca-42b0-b428-dc4d5d0a9ee9,720117.0,0.669,1.3923,672,1.0,18,1,2025-02-09 12:39:59.587380
f95029b4-1b8e-4121-83d4-37faf41ce07b,4a2502a0-b5bf-4eab-ba73-8304077edac7,2714850.0,0.7769,1.6427,695,0.859,47,0,2025-01-05 12:39:59.587380
529f1309-4596-4abf-8ccf-0459ff5d78b4,1a35811a-5e5b-41db-bc28-2ebd87947462,799687.0,0.6309,1.9914,707,0.9045,29,0,2025-01-15 12:39:59.587380
98e25417-890e-4d9e-8780-d39907571304,e0684f1d-ca01-42f4-98cd-7cbdef4b43ef,482963.0,0.7074,0.9578,709,0.8752,36,0,2025-10-01 12:39:59.587380
43a9aa72-d857-4649-ac6c-77f31cfbafee,55bffe79-f32c-4fae-98c4-698ede14983a,8586045.0,0.6606,1.1297,640,0.9917,42,0,2025-07-16 12:39:59.587380
